target_method,graph_coverage,graph_coverage_info
org.jscience.mathematics.function.Term.divide.209,0.0,"NodeCoverage [id=5, node[22,IF_ICMPGE,line 214], decis={node[28,ACONST_NULL,line 214],node[23,ALOAD_0,line 214]}, covered=false, coveredBranches={}]
NodeCoverage [id=8, node[32,IF_ICMPGE,line 215], decis={node[38,ACONST_NULL,line 215],node[33,ALOAD_1,line 215]}, covered=false, coveredBranches={}]
NodeCoverage [id=11, node[41,IFNONNULL,line 216], decis={node[62,ALOAD,line 222],node[42,ALOAD,line 217]}, covered=false, coveredBranches={}]
NodeCoverage [id=13, node[43,IFNONNULL,line 217], decis={node[46,NEW,line 219],node[44,ALOAD,line 218]}, covered=false, coveredBranches={}]
NodeCoverage [id=29, node[63,IFNONNULL,line 222], decis={node[86,ALOAD,line 227],node[64,ALOAD,line 223]}, covered=false, coveredBranches={}]
NodeCoverage [id=32, node[88,IF_ACMPNE,line 227], decis={node[139,ALOAD,line 238],node[89,ALOAD_0,line 228]}, covered=false, coveredBranches={}]
NodeCoverage [id=34, node[102,IFGE,line 229], decis={node[119,ILOAD,line 232],node[103,NEW,line 230]}, covered=false, coveredBranches={}]
NodeCoverage [id=49, node[120,IFLE,line 232], decis={node[20,ILOAD,line 214],node[121,ALOAD,line 233]}, covered=false, coveredBranches={}]
NodeCoverage [id=57, node[146,IFGE,line 239], decis={node[169,ILOAD,line 242],node[147,ALOAD,line 240]}, covered=false, coveredBranches={}]
NodeCoverage [id=60, node[170,IFLE,line 242], decis={node[187,NEW,line 246],node[171,NEW,line 243]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.function.Term.equals.261,0.16666666666666666,"NodeCoverage [id=1, node[2,IF_ACMPNE,line 261], decis={node[5,ALOAD_1,line 263],node[3,ICONST_1,line 262]}, covered=true, coveredBranches={5}]
NodeCoverage [id=4, node[7,IFNE,line 263], decis={node[10,ALOAD_1,line 265],node[8,ICONST_0,line 264]}, covered=true, coveredBranches={8}]
NodeCoverage [id=7, node[17,IF_ICMPEQ,line 266], decis={node[20,ICONST_0,line 268],node[18,ICONST_0,line 267]}, covered=false, coveredBranches={}]
NodeCoverage [id=11, node[25,IF_ICMPGE,line 268], decis={node[49,ICONST_1,line 273],node[26,ALOAD_0,line 269]}, covered=false, coveredBranches={}]
NodeCoverage [id=14, node[35,IFEQ,line 269], decis={node[45,ICONST_0,line 271],node[36,ALOAD_0,line 269]}, covered=false, coveredBranches={}]
NodeCoverage [id=16, node[44,IF_ICMPEQ,line 269], decis={node[47,IINC,line 268],node[45,ICONST_0,line 271]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.function.Term.toText.303,0.0,"NodeCoverage [id=3, node[7,IF_ICMPGE,line 304], decis={node[40,ALOAD_1,line 320],node[8,ALOAD_1,line 305]}, covered=false, coveredBranches={}]
NodeCoverage [id=8, node[22,TABLESWITCH,line 307], decis={node[23,GOTO,line 309],node[24,ALOAD_1,line 311],node[29,ALOAD_1,line 314],node[34,ALOAD_1,line 317]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.function.Term.compareTo.348,0.0,"NodeCoverage [id=4, node[10,IF_ICMPGE,line 349], decis={node[43,ALOAD_1,line 358],node[11,ALOAD_0,line 350]}, covered=false, coveredBranches={}]
NodeCoverage [id=11, node[24,IFEQ,line 352], decis={node[27,ALOAD_1,line 354],node[25,ILOAD,line 353]}, covered=false, coveredBranches={}]
NodeCoverage [id=14, node[38,IFEQ,line 355], decis={node[41,IINC,line 349],node[39,ILOAD,line 356]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.function.Polynomial.getOrder.123,0.75,"NodeCoverage [id=6, node[9,IFEQ,line 124], decis={node[24,ILOAD_2,line 130],node[10,ALOAD_3,line 124]}, covered=true, coveredBranches={10,24}]
NodeCoverage [id=12, node[20,IF_ICMPLE,line 126], decis={node[23,GOTO,line 129],node[21,ILOAD,line 127]}, covered=true, coveredBranches={23}]"
org.jscience.mathematics.function.Polynomial.plus.162,1.0,"NodeCoverage [id=13, node[27,IF_ACMPEQ,line 167], decis={node[76,ALOAD_2,line 183],node[28,ALOAD,line 168]}, covered=true, coveredBranches={76,28}]
NodeCoverage [id=21, node[45,IFNULL,line 171], decis={node[75,GOTO,line 182],node[46,ALOAD,line 171]}, covered=true, coveredBranches={46,75}]
NodeCoverage [id=23, node[47,IFNULL,line 171], decis={node[75,GOTO,line 182],node[48,ALOAD,line 172]}, covered=true, coveredBranches={48,75}]
NodeCoverage [id=28, node[55,IFEQ,line 173], decis={node[69,ALOAD_2,line 179],node[56,ALOAD,line 174]}, covered=true, coveredBranches={69,56}]
NodeCoverage [id=40, node[79,IFNE,line 183], decis={node[83,ALOAD_2,line 184],node[80,ALOAD_3,line 183]}, covered=true, coveredBranches={80,83}]"
org.jscience.mathematics.function.Polynomial.compose.250,0.1,"NodeCoverage [id=6, node[7,IF_ICMPEQ,line 251], decis={node[13,ALOAD_2,line 253],node[8,NEW,line 252]}, covered=true, coveredBranches={8}]
NodeCoverage [id=18, node[27,IFEQ,line 255], decis={node[73,ALOAD,line 267],node[28,ALOAD,line 255]}, covered=false, coveredBranches={}]
NodeCoverage [id=30, node[46,IFLE,line 259], decis={node[64,ALOAD,line 264],node[47,ALOAD_1,line 260]}, covered=false, coveredBranches={}]
NodeCoverage [id=34, node[52,IFNULL,line 261], decis={node[59,ALOAD,line 261],node[53,ALOAD,line 261]}, covered=false, coveredBranches={}]
NodeCoverage [id=44, node[65,IFNULL,line 264], decis={node[70,ALOAD,line 264],node[66,ALOAD,line 264]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.function.Polynomial.differentiate.283,0.125,"NodeCoverage [id=2, node[3,IFLE,line 283], decis={node[57,ALOAD_0,line 298],node[4,ACONST_NULL,line 284]}, covered=true, coveredBranches={57}]
NodeCoverage [id=9, node[13,IFEQ,line 285], decis={node[55,ALOAD_2,line 296],node[14,ALOAD_3,line 285]}, covered=false, coveredBranches={}]
NodeCoverage [id=19, node[31,IFLE,line 289], decis={node[54,GOTO,line 295],node[32,ALOAD,line 290]}, covered=false, coveredBranches={}]
NodeCoverage [id=28, node[47,IFNULL,line 293], decis={node[52,ALOAD,line 293],node[48,ALOAD_2,line 293]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.function.Polynomial.toText.408,0.0,"NodeCoverage [id=12, node[20,IF_ICMPGE,line 412], decis={node[48,ALOAD_2,line 419],node[21,ILOAD_3,line 413]}, covered=false, coveredBranches={}]
NodeCoverage [id=14, node[22,IFEQ,line 413], decis={node[27,ALOAD_2,line 416],node[23,ALOAD_2,line 414]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.number.Real.valueOf.233,0.65,"NodeCoverage [id=2, node[4,IF_ICMPNE,line 233], decis={node[13,ALOAD_0,line 236],node[5,ALOAD_0,line 234]}, covered=true, coveredBranches={13,5}]
NodeCoverage [id=14, node[19,IF_ICMPNE,line 237], decis={node[27,ALOAD_1,line 239],node[20,ALOAD_1,line 237]}, covered=true, coveredBranches={20,27}]
NodeCoverage [id=17, node[24,IFNE,line 237], decis={node[27,ALOAD_1,line 239],node[25,GETSTATIC,line 238]}, covered=true, coveredBranches={27}]
NodeCoverage [id=21, node[30,IFEQ,line 239], decis={node[33,ALOAD_1,line 241],node[31,GETSTATIC,line 240]}, covered=true, coveredBranches={33}]
NodeCoverage [id=26, node[39,IFLT,line 242], decis={node[71,GETSTATIC,line 251],node[40,ALOAD_1,line 243]}, covered=true, coveredBranches={40,71}]
NodeCoverage [id=35, node[57,IF_ACMPNE,line 246], decis={node[63,ALOAD,line 248],node[58,GETSTATIC,line 247]}, covered=true, coveredBranches={63}]
NodeCoverage [id=45, node[81,IFLT,line 253], decis={node[120,ALOAD_1,line 263],node[82,ALOAD_3,line 254]}, covered=true, coveredBranches={120}]
NodeCoverage [id=55, node[102,IFEQ,line 257], decis={node[115,ALOAD_3,line 260],node[103,NEW,line 258]}, covered=false, coveredBranches={}]
NodeCoverage [id=69, node[126,IFLT,line 264], decis={node[174,ALOAD_3,line 277],node[127,ALOAD_1,line 265]}, covered=true, coveredBranches={127,174}]
NodeCoverage [id=81, node[152,IFEQ,line 270], decis={node[159,ALOAD,line 271],node[153,ALOAD,line 270]}, covered=true, coveredBranches={159}]"
org.jscience.mathematics.number.Real.times.480,-1.0,
org.jscience.mathematics.number.Real.toText.639,0.25,"NodeCoverage [id=1, node[2,IF_ACMPNE,line 639], decis={node[6,ALOAD_0,line 641],node[3,LDC,line 640]}, covered=true, coveredBranches={6,3}]
NodeCoverage [id=7, node[8,IFEQ,line 641], decis={node[26,ALOAD_0,line 645],node[9,ALOAD_0,line 642]}, covered=true, coveredBranches={9}]
NodeCoverage [id=9, node[11,IFNE,line 642], decis={node[16,ALOAD_0,line 642],node[12,ALOAD_0,line 642]}, covered=true, coveredBranches={12}]
NodeCoverage [id=25, node[33,IFEQ,line 646], decis={node[43,ALOAD_0,line 646],node[34,ALOAD_0,line 646]}, covered=false, coveredBranches={}]
NodeCoverage [id=36, node[67,IFEQ,line 652], decis={node[73,ALOAD,line 652],node[68,ALOAD,line 652]}, covered=false, coveredBranches={}]
NodeCoverage [id=41, node[78,IF_ICMPLE,line 653], decis={node[119,ALOAD,line 662],node[79,ILOAD_3,line 654]}, covered=false, coveredBranches={}]
NodeCoverage [id=43, node[80,IFGE,line 654], decis={node[95,ALOAD,line 657],node[81,ILOAD_3,line 654]}, covered=false, coveredBranches={}]
NodeCoverage [id=45, node[84,IF_ICMPGE,line 654], decis={node[95,ALOAD,line 657],node[85,ALOAD,line 655]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.number.Real.compareTo.737,0.75,"NodeCoverage [id=4, node[6,IFEQ,line 738], decis={node[9,ALOAD_2,line 740],node[7,ICONST_1,line 739]}, covered=true, coveredBranches={9}]
NodeCoverage [id=8, node[11,IFEQ,line 740], decis={node[14,ICONST_0,line 743],node[12,ICONST_M1,line 741]}, covered=true, coveredBranches={12,14}]"
org.jscience.mathematics.number.Integer64.compareTo.283,1.0,"NodeCoverage [id=1, node[4,IFGE,line 283], decis={node[7,ALOAD_0,line 285],node[5,ICONST_M1,line 284]}, covered=true, coveredBranches={5,7}]
NodeCoverage [id=4, node[11,IFLE,line 285], decis={node[14,ICONST_0,line 288],node[12,ICONST_1,line 286]}, covered=true, coveredBranches={14,12}]"
org.jscience.mathematics.number.Float64.compareTo.381,1.0,"NodeCoverage [id=1, node[4,IFGE,line 381], decis={node[7,ALOAD_0,line 383],node[5,ICONST_M1,line 382]}, covered=true, coveredBranches={5,7}]
NodeCoverage [id=4, node[11,IFLE,line 383], decis={node[14,ALOAD_0,line 386],node[12,ICONST_1,line 384]}, covered=true, coveredBranches={14,12}]
NodeCoverage [id=11, node[24,IFNE,line 388], decis={node[27,LLOAD_3,line 388],node[25,ICONST_0,line 388]}, covered=true, coveredBranches={25,27}]
NodeCoverage [id=15, node[30,IFGE,line 388], decis={node[33,ICONST_1,line 388],node[31,ICONST_M1,line 388]}, covered=true, coveredBranches={33,31}]"
org.jscience.mathematics.number.FloatingPoint.compareTo.541,0.0,"NodeCoverage [id=4, node[6,IFEQ,line 542], decis={node[9,ALOAD_2,line 544],node[7,ICONST_1,line 543]}, covered=false, coveredBranches={}]
NodeCoverage [id=8, node[11,IFEQ,line 544], decis={node[14,ICONST_0,line 547],node[12,ICONST_M1,line 545]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.number.FloatingPoint.normalize.558,0.0,"NodeCoverage [id=4, node[8,IF_ICMPLE,line 560], decis={node[42,ALOAD_0,line 570],node[9,ILOAD_1,line 561]}, covered=false, coveredBranches={}]
NodeCoverage [id=8, node[29,IFLE,line 564], decis={node[32,LLOAD,line 566],node[30,GETSTATIC,line 565]}, covered=false, coveredBranches={}]
NodeCoverage [id=11, node[35,IFGE,line 566], decis={node[38,ALOAD_0,line 568],node[36,GETSTATIC,line 567]}, covered=false, coveredBranches={}]"
